Country,Year,Total_Energy_Consumption_TWh,Electricity_Consumption_TWh,Oil_Consumption_Barrels,Coal_Consumption_Tonnes,NaturalGas_Consumption_CubicMeters,Renewable_Share_Percent,Nuclear_Share_Percent,CO2_Emissions_Mt,Population_Millions,GDP_BillionUSD,Energy_Per_Capita_MWh,Energy_Imports_Percent,Energy_Exports_Percent,FossilFuel_Share_Percent,Electricity_Price_USD_kWh
Russia,1994.0,2194.3273631430575,484.372873645889,7576.54897997135,1911.6954458403202,3224.6366669104523,51.141927613848736,12.630774076216028,,55.305750339941106,1711.6539314574304,0.039676296762189346,50.32854425711191,71.87296370559793,60.783503861012534,0.09648725711445341
Germany,2004.0,556.0948749158255,394.31623332142925,1666.9760893562895,3166.5234308263375,844.7046423443867,19.758866773265105,13.762214055964606,127.92097970268358,61.291462227749264,1364.8736600421912,0.009072958201738862,33.15388959556237,82.38926474298445,13.08785074126858,0.16878563519829648
Japan,1993.0,144.26104014403862,299.27793441663493,2272.9464642514695,2220.942048879061,127.35224060067583,45.1642023782448,0.6054524477576351,499.5305294540181,62.16837007894216,90.36632454911131,0.002320489341458594,44.533339495739945,26.036460290010275,12.252904542799426,0.1301704878471443
UK,1997.0,954.163469079555,56.33585698415388,577.840370892543,,2859.072168193419,63.143472622641994,15.541320169386342,484.9662720890689,46.22480769735362,1404.992541473783,0.02064180505253202,24.049875841396652,88.93489149718356,42.17247249139021,0.15217533181799484
Russia,2013.0,247.59776534910225,37.61171441886318,2055.7408519933388,5875.954895222595,1393.237704589639,89.21206282252714,34.37639906148903,757.6883062440876,53.04120814535262,853.8805352179062,0.00466802650253728,79.08200836395086,,48.32596172576204,0.13311354002924813
Australia,2017.0,212.85955588911247,78.31438586916852,901.1720344757159,1782.3861695734065,970.2108035435325,22.6329265643587,15.339462165461457,391.0441995672437,60.12505022114259,1059.4455784223967,0.0035402807167096845,88.94985856640886,57.50302569557695,66.96300061864923,0.1670558664414133
India,2016.0,3344.106958375365,343.43410642568205,2336.3303265131044,4179.884749886476,3360.6806498377323,35.924965045548994,15.635512825419697,416.65506152114943,26.21942476566961,834.8052291793963,0.12754310928872742,55.86553569376551,22.971577818116874,76.31734089911969,0.05
Russia,1990.0,214.22530778927722,156.6198060276057,2452.9635080383255,4137.5938520805275,2119.4620436281825,46.72836372425405,32.21246855732032,1304.7196660778272,38.52985576894294,1046.0688347410994,0.005559982084385427,69.48740186194169,83.97561063080185,37.269797359795945,0.11353654827657986
Japan,2006.0,1484.369034217325,150.45440006644438,2666.4606043144377,3663.0151888271716,1837.628758580054,65.24875998087307,24.75522007720248,801.2275555809006,77.68422339049445,1516.1554805835376,0.019107728306117743,9.479219463853173,53.39431067212802,50.4898269310732,0.13999651576360456
UK,2015.0,2427.7617596229325,,3309.12388006178,6841.792025831212,1502.0447108286535,50.074270487952155,23.572127191797275,319.48955500812116,60.02954558068933,662.8695673237526,0.04044278090294106,53.21285460689632,52.67802181032327,68.30136277435277,
